2022-08-31 01:33:01,524 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set lr = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb lr 0.1 None
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:33:01,525 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,843 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-31 01:34:44,844 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,844 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-08-31 01:34:44,844 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,844 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-31 01:34:44,845 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,845 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-31 01:34:44,845 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set lr = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,845 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb lr 0.1 None
2022-08-31 01:34:44,845 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:34:44,845 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-08-31 01:36:27,690 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:36:27,690 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-31 01:36:27,691 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:36:27,691 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-31 01:36:27,691 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:36:27,691 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-08-31 01:36:27,692 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:36:27,692 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-31 01:36:27,692 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:36:27,692 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
2022-08-31 01:36:27,692 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set lr = 0.1 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:36:27,693 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb lr 0.1 None
2022-08-31 01:36:27,693 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:36:27,693 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb momentum 0.9 None
2022-08-31 01:38:11,441 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set n_client = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:38:11,441 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb n_client 50 None
2022-08-31 01:38:11,441 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set chosen_client = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:38:11,441 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb chosen_client 10 None
2022-08-31 01:38:11,441 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set global_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:38:11,442 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb global_epochs 50 None
2022-08-31 01:38:11,442 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set local_epochs = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:38:11,442 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb local_epochs 10 None
2022-08-31 01:38:11,442 INFO    MainThread:20204 [wandb_config.py:__setitem__():150] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x00000272919FE610>>
2022-08-31 01:38:11,442 INFO    MainThread:20204 [wandb_run.py:_config_callback():1131] config_cb batch_size 32 None
